Date/Time (EST),Number of Records Compiled,monthly SUM of 2m Daily Precipitation (in)
Jun 2016,30 (100%),3.0302
Jul 2016,31 (100%),5.4004
Aug 2016,31 (100%),3.6704
Sep 2016,30 (100%),2.2403
Oct 2016,31 (100%),0.0103
Nov 2016,30 (100%),5.38
Dec 2016,31 (100%),3.6104
Jan 2017,31 (100%),8.5501
Feb 2017,28 (100%),4.8601
Mar 2017,31 (100%),5.0702
Apr 2017,30 (100%),7.02
May 2017,31 (100%),3.0704
Jun 2017,30 (100%),18.2705
Jul 2017,31 (100%),3.9006
Aug 2017,31 (100%),3.8102
Sep 2017,30 (100%),2.2202
Oct 2017,31 (100%),5.01
Nov 2017,30 (100%),2.1802
Dec 2017,31 (100%),4.48
Jan 2018,31 (100%),3.2
Feb 2018,28 (100%),8.3701
Mar 2018,31 (100%),3.8902
Apr 2018,30 (100%),7.42
May 2018,31 (100%),13.0703
Jun 2018,30 (100%),2.5001
Jul 2018,30 (96.8%)
Aug 2018,31 (100%)
Feb 2019,28 (100%),6.9302
Mar 2019,31 (100%),2.9001
Apr 2019,30 (100%),9.7803
May 2019,31 (100%),2.1701
Jun 2019,30 (100%),4.1701
Jul 2019,31 (100%),5.34
Aug 2019,31 (100%),10.8601
Sep 2019,30 (100%),0
Oct 2019,31 (100%),7.2003
Nov 2019,30 (100%),2.6002
Dec 2019,31 (100%),7.2603
Jan 2020,31 (100%),8.2801
Feb 2020,29 (100%),11.31
Mar 2020,31 (100%),7.69
Apr 2020,30 (100%),8.9
May 2020,31 (100%),4.1601
Jun 2020,24 (80%),3.5201
